,lamb,fun,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
187,0.2728333376486768,-15543.260147136307,24.489971747266985,1183.73157977,823.00909078,846.63954121,587.07112385,510.23625751,596.43371338,3005.31428168,585.5122657,455.49776517
188,0.2728333376486768,-15543.180448616818,26.534304136968142,1183.75080552,823.00678811,844.62544304,586.62849885,510.33923975,594.5544284,3005.31446328,585.51225747,455.49777632
189,0.2728333376486768,-15543.175007467591,26.671431372624657,1183.75200445,823.00665215,844.49030879,586.59903016,510.34612803,594.42847264,3005.31418818,585.51222076,455.49778715
190,0.2728333376486768,-15543.175060440544,26.670097801055025,1183.75206389,823.006662,844.49160174,586.59924087,510.346055,594.42977067,3005.31434051,585.51226968,455.49779106
191,0.34551072945922184,-15543.996778355966,1.1812560223088603e-07,1183.50260189,823.03612857,870.77048768,592.80552596,508.9038159,619.37448602,3005.31430414,585.51226753,455.49776709
192,0.34551072945922184,-15543.996225406609,0.011812560223088603,1183.50234588,823.03610334,870.75854376,592.80123234,508.90480753,619.36424069,3005.31429664,585.51224502,455.4977325
193,0.34551072945922184,-15543.996778355966,1.1812560223088603e-07,1183.50260189,823.03612857,870.77048768,592.80552596,508.9038159,619.37448602,3005.31430414,585.51226753,455.49776709
194,0.34551072945922184,-15543.99567229978,0.023625120446177206,1183.50210388,823.03616832,870.74660404,592.79701548,508.90578277,619.35387291,3005.31431108,585.51231156,455.49775866
195,0.34551072945922184,-15543.996778355966,1.1812560223088603e-07,1183.50260189,823.03612857,870.77048768,592.80552596,508.9038159,619.37448602,3005.31430414,585.51226753,455.49776709
196,0.34551072945922184,-15543.994565630372,0.04725024089235441,1183.50168274,823.03621014,870.72268761,592.78858705,508.90775731,619.33323867,3005.31437849,585.5122466,455.49779159
197,0.34551072945922184,-15543.996778355966,1.1812560223088603e-07,1183.50260189,823.03612857,870.77048768,592.80552596,508.9038159,619.37448602,3005.31430414,585.51226753,455.49776709
198,0.34551072945922184,-15543.992350468914,0.09450048178470882,1183.50081701,823.03634458,870.67484771,592.77175342,508.9116671,619.29202672,3005.31428528,585.51231959,455.49780615
199,0.34551072945922184,-15543.996778355966,1.1812560223088603e-07,1183.50260189,823.03612857,870.77048768,592.80552596,508.9038159,619.37448602,3005.31430414,585.51226753,455.49776709
200,0.34551072945922184,-15543.987912858604,0.18900096356941765,1183.49912652,823.03650396,870.57912109,592.73802943,508.91950051,619.20939693,3005.3142356,585.5122917,455.49780077
201,0.34551072945922184,-15543.996778355966,1.1812560223088603e-07,1183.50260189,823.03612857,870.77048768,592.80552596,508.9038159,619.37448602,3005.31430414,585.51226753,455.49776709
202,0.34551072945922184,-15543.97900851343,0.3780019271388353,1183.49581287,823.03691313,870.38770383,592.67060779,508.93512184,619.04426131,3005.31425177,585.51226389,455.49778115
203,0.34551072945922184,-15543.996778355966,1.1812560223088603e-07,1183.50260189,823.03612857,870.77048768,592.80552596,508.9038159,619.37448602,3005.31430414,585.51226753,455.49776709
204,0.34551072945922184,-15543.961083524842,0.7560038542776706,1183.48914098,823.03768237,870.00500188,592.5360346,508.96633642,618.71435313,3005.31421191,585.51218765,455.49777299
205,0.34551072945922184,-15543.996778355966,1.1812560223088603e-07,1183.50260189,823.03612857,870.77048768,592.80552596,508.9038159,619.37448602,3005.31430414,585.51226753,455.49776709
206,0.34551072945922184,-15543.924769947123,1.5120077085553412,1183.47582156,823.03926583,869.23942092,592.26810724,509.0285198,618.05527271,3005.31416445,585.51229884,455.49784029
